mayday_model_id,mayday_provider,mayday_model_name,eco_provider,eco_model_resolved,eco_status,eco_total_params,eco_active_params_min,eco_active_params_max,eco_warnings
a1922a35-dfab-4aea-ad3a-38b76402b8a5,OpenAI,gpt-4.1,openai,gpt-4.1,covered,352,35,106,"model-arch-not-released:The model architecture has not been released, expect lower precision.|model-arch-multimodal:The model architecture is multimodal, expect lower precision."
7f6fb05b-cbaa-494f-ae40-509063102662,OpenAI,gpt-4.5,openai,,not_covered,,,,
922aa8c2-e18b-4433-8ca3-951d549e23da,OpenAI,gpt-4o,openai,gpt-4o,covered,440,44,132,"model-arch-not-released:The model architecture has not been released, expect lower precision.|model-arch-multimodal:The model architecture is multimodal, expect lower precision."
b90de811-9c55-4571-8472-3f58ec36266c,OpenAI,gpt-4-turbo,openai,gpt-4-turbo,covered,880,88,264,"model-arch-not-released:The model architecture has not been released, expect lower precision.|model-arch-multimodal:The model architecture is multimodal, expect lower precision."
b0d3c769-5294-4fd0-be8b-fcb50d4ad9c1,OpenAI,gpt-5,openai,gpt-5,covered,300,30,90,"model-arch-not-released:The model architecture has not been released, expect lower precision.|model-arch-multimodal:The model architecture is multimodal, expect lower precision."
e565fdb0-0ba9-4c5e-bc5e-5805d8c2d5b7,OpenAI,gpt-5.1,openai,gpt-5.1,covered,300,30,90,"model-arch-not-released:The model architecture has not been released, expect lower precision.|model-arch-multimodal:The model architecture is multimodal, expect lower precision."
6c3a7049-b6c4-436e-b5cf-83ecd7c968c6,OpenAI,gpt-5.2,openai,gpt-5.2,covered,420,42,126,"model-arch-not-released:The model architecture has not been released, expect lower precision.|model-arch-multimodal:The model architecture is multimodal, expect lower precision."
a038651f-e010-4ee8-ad7b-03890192710a,OpenAI,GPT-5.2,openai,gpt-5.2,covered,420,42,126,"model-arch-not-released:The model architecture has not been released, expect lower precision.|model-arch-multimodal:The model architecture is multimodal, expect lower precision."
c87bd5d6-48fe-4078-bd79-252892bbace8,OpenAI,GPT-5.3,openai,,not_covered,,,,
6661e89c-ddbb-4732-ba50-4a5cde63a9e8,OpenAI,GPT-5.4,openai,gpt-5.4,covered,450,45,150,"model-arch-not-released:The model architecture has not been released, expect lower precision.|model-arch-multimodal:The model architecture is multimodal, expect lower precision."
8c8810db-643f-4126-9db8-5ede01f9f759,OpenAI,gpt-oss-120b,openai,,not_covered,,,,
74f7d94f-0998-4558-be1b-05c91c8f9edc,OpenAI,gpt-oss-20b,openai,,not_covered,,,,
5d431475-7bb7-4987-914d-7a90f97504ec,OpenAI,o1,openai,o1,covered,440,44,132,"model-arch-not-released:The model architecture has not been released, expect lower precision.|model-arch-multimodal:The model architecture is multimodal, expect lower precision."
17d027f4-54ca-43ed-b850-e5cc0abd0dbb,OpenAI,o3,openai,o3-mini,covered,28,,,"model-arch-not-released:The model architecture has not been released, expect lower precision.|model-arch-multimodal:The model architecture is multimodal, expect lower precision."
7e5435bc-403d-46aa-8be0-159c23c931e8,OpenAI,o3-mini,openai,o3-mini,covered,28,,,"model-arch-not-released:The model architecture has not been released, expect lower precision.|model-arch-multimodal:The model architecture is multimodal, expect lower precision."
296407b8-922e-451b-834a-0a6198a313ec,OpenAI,o4-mini,openai,o4-mini,covered,28,,,"model-arch-not-released:The model architecture has not been released, expect lower precision.|model-arch-multimodal:The model architecture is multimodal, expect lower precision."
dc610fb9-ed6f-435f-a44e-bc7a1a4cb345,Perplexity,sonar,,,not_covered,,,,
d34259b0-e086-4e0f-ab92-cc1a16f16fde,Perplexity,sonar-deep-research,,,not_covered,,,,
f069ba0a-6e0b-4e8a-8c21-1cd9d25a1b10,Perplexity,sonar-pro,,,not_covered,,,,
192be062-68b8-4de0-9d9c-cfe86654d741,Perplexity,sonar-reasoning,,,not_covered,,,,
f4423565-9c56-4b25-bd1f-db799d468e90,xAI,grok-2,,,not_covered,,,,
0a0f9e5d-143a-4412-8e78-104a7fa63a6e,xAI,grok-3,,,not_covered,,,,
4c2a8b4e-5e93-4346-aa4f-004ece8e6a93,xAI,grok-4,,,not_covered,,,,
b465db58-daa4-470f-811d-61ff415e6874,xAI,Grok-4.20,,,not_covered,,,,
